Latitude,Longitude,Disturbance agent
40.0166667,-0.6333333,outbreak
41.6148056,-0.8864167,outbreak
40.4666667,-1.6333333,outbreak
19.5,-100.26,fire
19.3,-103.37,hydro_geo
43.601,-103.42333,fire
43.9909444,-103.77358,fire
53.55,-104.41,outbreak
31.9411667,-104.87325,fire
39.89,-104,fire
40.7800052,-104,outbreak
39.3300044,-105.03,outbreak
53.98,-105.11,outbreak
53.6721111,-105.28097,wind
39.2213056,-105.28217,fire
40.2161389,-105.31267,fire
35.27,-105.43,fire
40.4263333,-105.54703,fire
40.4263333,-105.54703,outbreak
40.0931944,-105.55192,fire
40.0500032,-105.55,outbreak
40.0300042,-105.57,outbreak
40.3755833,-105.58219,fire
40.0500011,-105.58,outbreak
40.3678056,-105.61767,fire
40.3678056,-105.61767,outbreak
39.2284444,-105.62003,fire
40.0929444,-105.63039,outbreak
40.1992486,-105.63244,outbreak
40.3333333,-105.66667,fire
40.0700034,-105.67,outbreak
40.369997,-105.67,outbreak
39.2666667,-105.6,fire
40.45,-105.76667,wind
40.4500052,-105.77,outbreak
40.7338217,-105.79122,outbreak
40.7338217,-105.79122,fire
40.4212651,-105.8059,outbreak
40.3628224,-105.82141,outbreak
40.5500029,-105.83,outbreak
40.437671,-105.8457,hydro_geo
40.5999999,-105.86699,outbreak
39.8700019,-105.87,outbreak
40.4199997,-105.8,outbreak
39.84,-105.91,outbreak
39.8799967,-105.93,outbreak
40.263,-105.95592,outbreak
40.3750005,-105.997,outbreak
41.3700028,-106.23,outbreak
38.7828056,-106.27972,outbreak
41.4000012,-106.28,outbreak
35.8827778,-106.36781,outbreak
40.7641944,-106.47742,fire
40.3525064,-106.58907,outbreak
35.875974,-106.59119,fire
40.525004,-106.68,outbreak
40.777004,-106.692,outbreak
40.6539167,-106.69458,outbreak
40.5929977,-106.701,outbreak
40.7844444,-106.71428,fire
40.7844444,-106.71428,outbreak
40.7844444,-106.71428,wind
40.8219963,-106.725,outbreak
40.4117222,-106.73144,outbreak
40.7039963,-106.751,outbreak
40.7,-106.75,outbreak
40.7,-106.75,wind
40.75,-106.75,fire
39.05,-106.7,outbreak
40.03583,-106.82333,outbreak
36.9971389,-106.97036,fire
37.2878056,-107.17553,fire
39.9916872,-107.21812,outbreak
39.9858333,-107.22475,outbreak
40,-107.25,outbreak
40,-107.25,fire
40.0669677,-107.29325,outbreak
40.098385,-107.29618,outbreak
39.9166667,-107.36667,hydro_geo
39.9166667,-107.36667,fire
39.9166667,-107.36667,outbreak
39.9389951,-107.37189,outbreak
38.6699997,-107.58001,outbreak
41.3000046,-107.7,outbreak
39.0682573,-107.8746,outbreak
39.0576257,-107.97831,outbreak
39.0634613,-107.98473,outbreak
40,-107,outbreak
40,-107,fire
34.9655,-108.15497,fire
34.88,-108.22983,fire
37.6354167,-108.38806,fire
36.1663611,-108.91728,fire
38.63,-108.94,hydro_geo
40.5333333,-108.98333,fire
36.1746111,-108.9968056,fire
39,-108,fire
39,-108,outbreak
31.8666667,-109.25,fire
44.9333333,-109.5333333,fire
32.41,-109.53,outbreak
47.7505833,-109.58739,hydro_geo
44.9416667,-109.6316667,fire
44.925,-109.645,fire
44.9333333,-109.7166667,fire
32.7014444,-109.8715,fire
32.7,-109.87,fire
31.3,-109,fire
32.1195556,-110.52322,fire
43.75,-110.6,outbreak
32.4429167,-110.788,fire
44.9201578,-111.30873,outbreak
39.3119167,-111.33622,hydro_geo
35.3641667,-111.50417,wind
46.3046944,-111.73258,outbreak
46.3046944,-111.73258,fire
44.8900278,-111.77492,outbreak
44.8900278,-111.77492,fire
45.0888611,-111.85719,hydro_geo
36.1048611,-112.00122,fire
36.1833333,-112.08333,fire
36.583,-112.16728,fire
45.7235114,-112.46229,outbreak
37.6646944,-112.67464,outbreak
37.579807,-112.74008,outbreak
37.5538611,-112.7766111,outbreak
37.66,-112.83,outbreak
37.66,-112.83,fire
59.4393056,-112.87642,fire
45.821,-112.941,outbreak
37.289785,-112.98936,fire
36.1666667,-112,fire
47.1980556,-113.35694,outbreak
47.1833333,-113.35,fire
46.89,-113.43,outbreak
48.2478333,-113.53572,hydro_geo
46.667,-113.583,outbreak
48.7787778,-113.70858,hydro_geo
45.3402778,-113.71583,outbreak
44.1375,-113.78111,hydro_geo
45.5205556,-113.80444,outbreak
47.0036111,-113.81417,outbreak
47,-113.81667,fire
45.561,-113.844,outbreak
47.7606944,-113.9553333,outbreak
47.0427778,-113.98722,outbreak
37.0837,-114.0119,fire
39.24,-114.05,fire
48.11,-114.15,outbreak
45.594,-114.213,outbreak
45.747,-114.45,outbreak
48.8788889,-114.52583,outbreak
47.2578333,-114.5614722,outbreak
44.5303889,-114.90186,outbreak
44.5303889,-114.90186,fire
47.0333333,-114,fire
51,-114,fire
50.9,-115.38333,fire
50.9,-115.38333,wind
49.25,-115.4,fire
45.1025681,-115.76283,outbreak
44.874,-115.7,outbreak
45.389,-115.963,outbreak
44.9481705,-116.07248,fire
51.5,-116.25,fire
51.5,-116.25,wind
45.5584167,-116.83331,fire
45.115,-117.002,outbreak
45.2075508,-117.23501,outbreak
45.1857222,-117.30328,outbreak
45.1857222,-117.30328,fire
52.3,-117.3,fire
45.5584167,-117.57517,fire
45.147,-117.633,outbreak
52.55,-117.7,fire
52.55,-117.7,wind
52.7,-117.91667,fire
52.7,-117.91667,wind
52.75,-117.96667,fire
52.75,-117.96667,wind
53.8645986,-117.9731,fire
44.0632222,-118.42133,fire
44.6854444,-118.53408,fire
44.583,-118.626,outbreak
44.25,-118.694,outbreak
55.1343333,-118.8033333,outbreak
49.8666667,-118.83333,fire
49.8666667,-118.83333,outbreak
